in:dy_4,in:dx_0,in:dy_0,out:Deflection,out:Mass,img
-1,0.6,1.2,0.074588,219.553563,https://drive.google.com/uc?export=view&id=1NVOfwJgEO51zdRa6c7bkpF9RsOenUIiY
-0.2,0.6,1.2,0.071132,187.69565,https://drive.google.com/uc?export=view&id=1KyQmiZiFM5jXofCHQnHHaukaZYbgVWBc
0.6,0.6,1.2,0.075056,158.014411,https://drive.google.com/uc?export=view&id=1SE7aOEE0Ew7m-2NPWQRTW0fi5Eqbdfjn
1.4,0.6,1.2,0.115561,132.846395,https://drive.google.com/uc?export=view&id=1QyFfdITWJ5Y7qAIcTXRfEmnl7pWAtNx9
2.2,0.6,1.2,0.127813,115.69573,https://drive.google.com/uc?export=view&id=1UahSlTwlHRCaXSwMnnQqZDTQsNCet_VE
3,0.6,1.2,0.088025,111.014063,https://drive.google.com/uc?export=view&id=1K9hpidZBgfoeQdL49esERunsTiWGC_nW
-1,1,1.2,0.090854,170.87653,https://drive.google.com/uc?export=view&id=1HTYkq3-n85SN0_MLvwfcN73QzbR26PIy
-0.2,1,1.2,0.087371,148.706949,https://drive.google.com/uc?export=view&id=1Rat_bqjhMTo4NGbcD2bL79tTfQ9mXhSY
0.6,1,1.2,0.090675,128.961683,https://drive.google.com/uc?export=view&id=1OpSkW7MvhKqTEhh8JxGcr6BY4uCdoJFc
1.4,1,1.2,0.125532,113.476505,https://drive.google.com/uc?export=view&id=1MhpNuvgfe5T3XPL-lFx2mH3JeWRP2J5S
2.2,1,1.2,0.134392,104.260065,https://drive.google.com/uc?export=view&id=1LJpSJMU7z8gy1iySWOrZJJt8uITmAgus
3,1,1.2,0.078362,101.504906,https://drive.google.com/uc?export=view&id=1IEaFdb3nx6KEtRp12XPCftQ4uXrPTtYS
-1,-1,2,0.060479,281.675398,https://drive.google.com/uc?export=view&id=1Tg13hZDDaatMOmVJo6MMNZVgxAGlrBJm
-0.2,-1,2,0.057369,248.390296,https://drive.google.com/uc?export=view&id=1Ud1rvVSMqNIu93-7YyNL4GkHUugrAeyE
0.6,-1,2,0.05463,215.720552,https://drive.google.com/uc?export=view&id=1Pt1ccG8quitzqPboxJyCn_KKRcLdwCAB
1.4,-1,2,0.053836,184.075719,https://drive.google.com/uc?export=view&id=1OWAfokNOgYi8bTqIf-a1_SuUaJeZR_Gk
2.2,-1,2,0.05995,169.032732,https://drive.google.com/uc?export=view&id=1SrQRroqqQKCtuZsLfQhMXU_0FM0H64Ie
3,-1,2,0.078935,177.256516,https://drive.google.com/uc?export=view&id=1IdOPgAY2jNuAoo95WAyc6FkqwGuKNFqv
-1,-0.6,2,0.059541,270.555406,https://drive.google.com/uc?export=view&id=1JM_3cpv019wFt-QZAXdCYhnNxOPoJ-Z2
-0.2,-0.6,2,0.056202,236.998073,https://drive.google.com/uc?export=view&id=1OzBfRGppVPHs-1hkba7Efay_DItQKH0K
0.6,-0.6,2,0.053732,204.161754,https://drive.google.com/uc?export=view&id=1PudQ_fVeL3pULn9mA9PHAw_QTmvhaPP_
1.4,-0.6,2,0.059305,173.493563,https://drive.google.com/uc?export=view&id=1If4YxSr9YaZ9UympnmnaUWktDlU2pms3
2.2,-0.6,2,0.04901,157.964516,https://drive.google.com/uc?export=view&id=1SR-U8VemPYte9Q4aFis4BeON07X9Flee
