in:dy_4,in:dx_0,in:dy_0,out:Displacement,out:Mass,img
1.2,-1,1.2,0.097264,147.290309,dy_41.2_dx_0-1_dy_01.2.png
2,-1,1.2,0.05675,167.978856,dy_42_dx_0-1_dy_01.2.png
-2,-0.6,1.2,0.106955,165.29749,dy_4-2_dx_0-0.6_dy_01.2.png
-1.2,-0.6,1.2,0.140163,141.570888,dy_4-1.2_dx_0-0.6_dy_01.2.png
-0.4,-0.6,1.2,0.42853,126.120328,dy_4-0.4_dx_0-0.6_dy_01.2.png
0.4,-0.6,1.2,0.535966,124.023643,dy_40.4_dx_0-0.6_dy_01.2.png
1.2,-0.6,1.2,0.076866,136.364866,dy_41.2_dx_0-0.6_dy_01.2.png
2,-0.6,1.2,0.084256,158.508501,dy_42_dx_0-0.6_dy_01.2.png
-2,-0.2,1.2,0.106447,160.142371,dy_4-2_dx_0-0.2_dy_01.2.png
-1.2,-0.2,1.2,0.148554,134.93994,dy_4-1.2_dx_0-0.2_dy_01.2.png
-0.4,-0.2,1.2,0.474305,117.638805,dy_4-0.4_dx_0-0.2_dy_01.2.png
0.4,-0.2,1.2,0.437923,114.91672,dy_40.4_dx_0-0.2_dy_01.2.png
1.2,-0.2,1.2,0.14891,128.806319,dy_41.2_dx_0-0.2_dy_01.2.png
2,-0.2,1.2,0.111576,152.685596,dy_42_dx_0-0.2_dy_01.2.png
-2,0.2,1.2,0.099266,156.375022,dy_4-2_dx_00.2_dy_01.2.png
-1.2,0.2,1.2,0.145713,129.727541,dy_4-1.2_dx_00.2_dy_01.2.png
-0.4,0.2,1.2,0.55659,110.02867,dy_4-0.4_dx_00.2_dy_01.2.png
0.4,0.2,1.2,0.471944,106.212196,dy_40.4_dx_00.2_dy_01.2.png
1.2,0.2,1.2,0.148975,122.506557,dy_41.2_dx_00.2_dy_01.2.png
2,0.2,1.2,0.101646,148.297911,dy_42_dx_00.2_dy_01.2.png
-2,0.6,1.2,0.09446,154.003628,dy_4-2_dx_00.6_dy_01.2.png
-1.2,0.6,1.2,0.143113,126.234186,dy_4-1.2_dx_00.6_dy_01.2.png
-0.4,0.6,1.2,0.629223,103.870422,dy_4-0.4_dx_00.6_dy_01.2.png
0.4,0.6,1.2,0.609888,97.910072,dy_40.4_dx_00.6_dy_01.2.png
1.2,0.6,1.2,0.14404,117.986889,dy_41.2_dx_00.6_dy_01.2.png
2,0.6,1.2,0.095102,145.469732,dy_42_dx_00.6_dy_01.2.png
-2,1,1.2,0.094187,129.22741,dy_4-2_dx_01_dy_01.2.png
-1.2,1,1.2,0.144112,109.728268,dy_4-1.2_dx_01_dy_01.2.png
-0.4,1,1.2,0.692156,94.652621,dy_4-0.4_dx_01_dy_01.2.png
0.4,1,1.2,0.691488,90.300359,dy_40.4_dx_01_dy_01.2.png
1.2,1,1.2,0.144082,105.376006,dy_41.2_dx_01_dy_01.2.png
2,1,1.2,0.094174,124.875148,dy_42_dx_01_dy_01.2.png
-2,-1,2,0.054033,205.295725,dy_4-2_dx_0-1_dy_02.png
-1.2,-1,2,0.072224,180.740614,dy_4-1.2_dx_0-1_dy_02.png
-0.4,-1,2,0.171212,162.794593,dy_4-0.4_dx_0-1_dy_02.png
0.4,-1,2,0.409693,155.107415,dy_40.4_dx_0-1_dy_02.png
1.2,-1,2,0.144509,159.77928,dy_41.2_dx_0-1_dy_02.png
2,-1,2,0.075113,175.493975,dy_42_dx_0-1_dy_02.png
-2,-0.6,2,0.053743,193.794475,dy_4-2_dx_0-0.6_dy_02.png
-1.2,-0.6,2,0.069153,168.208565,dy_4-1.2_dx_0-0.6_dy_02.png
-0.4,-0.6,2,0.142423,148.905459,dy_4-0.4_dx_0-0.6_dy_02.png
0.4,-0.6,2,0.31304,139.826023,dy_40.4_dx_0-0.6_dy_02.png
1.2,-0.6,2,0.139581,144.100461,dy_41.2_dx_0-0.6_dy_02.png
2,-0.6,2,0.062049,160.865179,dy_42_dx_0-0.6_dy_02.png
-2,-0.2,2,0.055593,185.844867,dy_4-2_dx_0-0.2_dy_02.png
-1.2,-0.2,2,0.069581,159.270991,dy_4-1.2_dx_0-0.2_dy_02.png
-0.4,-0.2,2,0.125986,138.492055,dy_4-0.4_dx_0-0.2_dy_02.png
0.4,-0.2,2,0.223412,127.562043,dy_40.4_dx_0-0.2_dy_02.png
1.2,-0.2,2,0.127931,131.211081,dy_41.2_dx_0-0.2_dy_02.png
2,-0.2,2,0.050244,149.524176,dy_42_dx_0-0.2_dy_02.png
-2,0.2,2,0.059248,180.516853,dy_4-2_dx_00.2_dy_02.png
-1.2,0.2,2,0.073802,153.09888,dy_4-1.2_dx_00.2_dy_02.png
-0.4,0.2,2,0.124504,130.874895,dy_4-0.4_dx_00.2_dy_02.png
0.4,0.2,2,0.160864,117.547147,dy_40.4_dx_00.2_dy_02.png
1.2,0.2,2,0.100884,120.101796,dy_41.2_dx_00.2_dy_02.png
2,0.2,2,0.05013,140.819652,dy_42_dx_00.2_dy_02.png
-2,0.6,2,0.064101,177.175633,dy_4-2_dx_00.6_dy_02.png
-1.2,0.6,2,0.081378,149.179108,dy_4-1.2_dx_00.6_dy_02.png
-0.4,0.6,2,0.140083,125.833163,dy_4-0.4_dx_00.6_dy_02.png
0.4,0.6,2,0.140744,109.840521,dy_40.4_dx_00.6_dy_02.png
1.2,0.6,2,0.07506,110.251294,dy_41.2_dx_00.6_dy_02.png
2,0.6,2,0.058365,134.751607,dy_42_dx_00.6_dy_02.png
-2,1,2,0.073028,142.852011,dy_4-2_dx_01_dy_02.png
-1.2,1,2,0.096436,123.352868,dy_4-1.2_dx_01_dy_02.png
-0.4,1,2,0.188371,108.277221,dy_4-0.4_dx_01_dy_02.png
0.4,1,2,0.170997,99.572698,dy_40.4_dx_01_dy_02.png
1.2,1,2,0.085711,101.591559,dy_41.2_dx_01_dy_02.png
2,1,2,0.067895,121.090701,dy_42_dx_01_dy_02.png
